ref	familia	nombre	mm	mecanismo	caja	esfera	correa_tipo	correa_color	cierre	asas_mm
H70225930	KHAKI FIELD	Khaki Field Expedition Auto	37	Automático	Acero	Negro	Textil NATO		Hebillas	20
H70225931	KHAKI FIELD	Khaki Field Expedition Auto	37	Automático	Acero	Negro	Textil NATO		Hebillas	20
H70315110	KHAKI FIELD	Khaki Field Expedition Auto	41	Automático	Acero	Blanco	Acero		Cierre desplegable	20
H70315130	KHAKI FIELD	Khaki Field Expedition Auto	41	Automático	Acero	Negro	Acero		Cierre desplegable	20
H70315830	KHAKI FIELD	Khaki Field Expedition Auto	41	Automático	Acero	Negro	Piel de vaca	verde	Hebillas	20
H70315910	KHAKI FIELD	Khaki Field Expedition Auto	41	Automático	Acero	Blanco	Textil NATO		Hebillas	20
H70315930	KHAKI FIELD	Khaki Field Expedition Auto	41	Automático	Acero	Negro	Textil NATO		Hebillas	20
H70315931	KHAKI FIELD	Khaki Field Expedition Auto	41	Automático	Acero	Negro	Textil NATO		Hebillas	20
H70405130	MURPH	Khaki Field Murph 38	38	Automático	Acero	Negro	Acero		Cierre desplegable	20
H70405710	MURPH	Khaki Field Murph 38	38	Automático	Acero	Blanco	Piel de becerro	negra	Hebillas	20
H70405730	MURPH	Khaki Field Murph 38	38	Automático	Acero	Negro	Piel de vaca	negra	Hebillas	20
H70455133	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Negro	Acero		Cierre desplegable	20
H70455140	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Azul	Acero		Cierre desplegable	20
H70455160	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Verde	Acero		Cierre desplegable	20
H70455533	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Negro	Piel de vaca		Hebillas	20
H70455540	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Azul	Piel de vaca		Hebillas	20
H70455553	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Plateado	Piel de vaca		Hebillas	20
H70455560	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Verde	Piel de vaca		Hebillas	20
H70455733	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Negro	Piel de vaca		Hebillas	20
H70455940	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Azul	Textil NATO	azul	Hebillas	20
H70455960	KHAKI FIELD	Khaki Field Auto 38	38	Automático	Acero	Verde	Textil NATO	negra	Hebillas	20
H70475930	KHAKI FIELD	Khaki Field Auto 38 Call of Duty	38	Automático	Acero	Negro	Textil NATO	verde caqui	Hebillas	20
H70515137	KHAKI FIELD	Khaki Field Auto 42	42	Automático	Acero	Negro	Acero		Cierre desplegable	22
H70545140	KHAKI FIELD	Khaki Field Titanium Auto	42	Automático	Titanio	Azul	Brazalete titanio		Cierre desplegable	20
H70545540	KHAKI FIELD	Khaki Field Titanium Auto	42	Automático	Titanio	Azul	Piel de vaca		Cierre en H	20
H70545550	KHAKI FIELD	Khaki Field Titanium Auto	42	Automático	Titanio	Negro	Piel de vaca		Cierre en H	20
H70555533	KHAKI FIELD	Khaki Field Auto 42	42	Automático	Acero	Negro	Piel de vaca		Hebillas	22
H70575733	KHAKI FIELD	Khaki Field Titanium Auto	42	Automático	Titanio PVD negro	Negro	Caucho		Cierre en H	20
H70605140	KHAKI FIELD	Khaki Field Auto 42	42	Automático	Acero	Azul	Acero		Cierre desplegable	22
H70605160	KHAKI FIELD	Khaki Field Auto 42	42	Automático	Acero	Verde	Acero		Cierre desplegable	22
H70605540	KHAKI FIELD	Khaki Field Auto 42	42	Automático	Acero	Azul	Piel de vaca		Hebillas	22
H70605560	KHAKI FIELD	Khaki Field Auto 42	42	Automático	Acero	Verde	Piel de vaca		Hebillas	22
H70605731	MURPH	Khaki Field Murph Auto 42	42	Automático	Acero	Negro	Piel de vaca		Hebillas	22
H70605732	MURPH	Khaki Field Murph Kit brazalete 42	42	Automático	Acero	Negro	Piel + brazalete acero		Hebillas	22
H70605733	KHAKI FIELD	Khaki Field Auto 42	42	Automático	Acero	Negro	Piel de vaca		Hebillas	22
H70665533	KHAKI FIELD	Khaki Field Titanium Auto	42	Automático	Titanio PVD negro	Negro	Piel de vaca		Cierre en H	20
H70675530	KHAKI FIELD	Khaki Field Auto The Odyssey LE	42	Automático	Bronce y Titanio	Negro	Piel de becerro		Hebillas	22
H71626735	KHAKI FIELD	Khaki Field Auto Chrono	42	Automático	Acero PVD negro	Negro			Hebillas	20
H71636330	KHAKI FIELD	Khaki Field Chrono Resident Evil LE	42	Automático	Acero PVD negro	Negro	Caucho		Cierre en H	20
